user_id,interests,past_courses
U075,"IoT,cybersecurity,data science,robotics","C003,C004,C001"
U076,natural language processing,"C005,C004"
U077,"data visualization,algorithms,robotics,databases,cybersecurity",C005
U078,"robotics,virtual reality","C004,C005,C002"
U079,"augmented reality,algorithms,data science","C004,C002,C001"
U080,"robotics,mobile development,game development","C001,C003,C004"
U081,"augmented reality,IoT,data visualization,ethical hacking","C004,C001"
U082,"computer vision,networking,databases,ethical hacking,mobile development","C003,C001,C004"
U083,natural language processing,"C005,C004"
U084,"web development,databases,augmented reality,computer vision,cloud computing",C001
U085,"game development,blockchain,algorithms,web development","C003,C004"
U086,IoT,"C002,C004,C001"
U087,"data visualization,mobile development","C003,C002,C004"
U088,"augmented reality,cloud computing,robotics,natural language processing","C003,C002,C004"
U089,"databases,algorithms,data science,natural language processing","C004,C001,C002"
U090,web development,"C005,C001,C002"
U091,"AI,cloud computing,blockchain,web development,databases",C004
U092,cybersecurity,C005
U093,"databases,web development,robotics,quantum computing","C001,C004"
U094,data science,"C005,C003"
U095,"IoT,networking",C003
U096,"web development,AI,cybersecurity","C002,C005"
U097,"natural language processing,data visualization",C003
U098,robotics,"C003,C002,C001"
U099,mobile development,"C004,C005"
U100,"data science,virtual reality,cybersecurity,AI","C002,C003,C001"
U101,"augmented reality,networking",C003
U102,"virtual reality,IoT,natural language processing,ethical hacking,programming","C002,C005"
U103,quantum computing,"C004,C005"
U104,"augmented reality,cybersecurity,data science,data visualization","C001,C003,C002"
U105,"cybersecurity,game development,data science","C005,C001"
U106,"virtual reality,mobile development,ethical hacking,computer vision",C002
U107,"data science,web development,AI,IoT,data visualization","C004,C001"
U108,"mobile development,algorithms,programming,ethical hacking","C003,C004,C002"
U109,"IoT,data science,computer vision,databases",C003
U110,networking,"C004,C003,C002"
U111,"blockchain,algorithms","C003,C001"
U112,robotics,C004
U113,"data science,cloud computing,web development,IoT,computer vision","C005,C004,C003"
U114,"virtual reality,programming","C005,C001,C004"
U115,"cloud computing,programming",C003
U116,"databases,natural language processing","C002,C004,C005"
U117,"networking,cybersecurity,AI","C004,C001,C002"
U118,computer vision,"C003,C004"
U119,"augmented reality,IoT,blockchain","C001,C004"
U120,"natural language processing,ethical hacking","C002,C003"
U121,"databases,programming,cybersecurity",C004
U122,"game development,IoT,programming,mobile development,networking",C002
U123,"natural language processing,ethical hacking,IoT,augmented reality","C005,C002,C004"
U124,"virtual reality,networking,algorithms,web development,ethical hacking","C003,C004,C002"
U125,"natural language processing,computer vision","C002,C005"
U126,"natural language processing,augmented reality,web development,virtual reality,quantum computing","C004,C005"
U127,augmented reality,"C001,C005,C004"
U128,"game development,computer vision","C001,C002"
U129,game development,"C001,C002,C004"
U130,"mobile development,virtual reality,augmented reality,algorithms,web development","C002,C003,C001"
U131,augmented reality,"C005,C004"
U132,virtual reality,"C001,C003"
U133,"algorithms,data visualization,IoT,quantum computing","C002,C003,C004"
U134,"augmented reality,web development","C005,C003"
U135,"algorithms,cybersecurity,data science,quantum computing,virtual reality","C003,C004"
U136,"data science,algorithms,blockchain,IoT","C004,C003,C001"
U137,cybersecurity,C003
U138,"data science,mobile development,blockchain,natural language processing","C002,C003,C001"
U139,"computer vision,robotics,blockchain,game development,programming",C002
U140,"programming,mobile development,web development,cybersecurity",C002
U141,"programming,cloud computing",C003
U142,"quantum computing,data science","C001,C003"
U143,robotics,"C004,C003,C002"
U144,"quantum computing,web development,cloud computing,databases,computer vision","C001,C005,C003"
U145,"data science,networking,cloud computing,quantum computing,web development","C003,C001"
U146,augmented reality,C001
U147,"mobile development,programming,blockchain,networking,data science",C005
U148,"blockchain,web development,quantum computing,networking,data visualization",C001
U149,"web development,algorithms,IoT","C002,C003"
U150,"databases,blockchain,data science,augmented reality",C003
U151,"data visualization,computer vision,quantum computing,cybersecurity,data science","C003,C002"
U152,"virtual reality,programming","C004,C001,C002"
U153,"IoT,programming,natural language processing,data science","C003,C002,C005"
U154,programming,C003
U155,"IoT,algorithms,AI,natural language processing,augmented reality","C002,C001"
U156,"ethical hacking,web development","C005,C003,C004"
U157,"cloud computing,data visualization,IoT,robotics,mobile development","C003,C002"
U158,robotics,C001
U159,"cloud computing,cybersecurity","C001,C005,C003"
U160,"databases,natural language processing,cybersecurity,blockchain","C002,C003"
U161,"mobile development,augmented reality",C004
U162,ethical hacking,C001
U163,"cloud computing,augmented reality,algorithms",C001
U164,"mobile development,databases,cloud computing,data science","C002,C001,C004"
U165,data science,"C004,C002"
U166,"augmented reality,programming","C003,C002,C005"
U167,web development,C001
U168,natural language processing,"C003,C004"
U169,"networking,data science,augmented reality,blockchain","C005,C003"
U170,"mobile development,augmented reality,natural language processing,ethical hacking,web development","C004,C005"
U171,"data science,databases,networking,data visualization,virtual reality",C003
U172,"ethical hacking,algorithms","C003,C005"
U173,"cloud computing,data visualization",C005
U174,"natural language processing,web development,data science,databases,robotics","C005,C003"
U175,"blockchain,ethical hacking,web development,mobile development,algorithms","C002,C003"
U176,"web development,quantum computing,mobile development,databases,algorithms","C005,C002,C004"
U177,"ethical hacking,game development","C003,C001"
U178,IoT,C003
U179,"AI,algorithms,robotics,cloud computing","C002,C001"
U180,"augmented reality,IoT,ethical hacking","C003,C005,C001"
U181,cybersecurity,C004
U182,"mobile development,AI","C001,C004"
U183,"programming,networking,game development","C003,C002"
U184,"natural language processing,quantum computing,programming,cloud computing,networking","C004,C005,C002"
U185,"mobile development,data visualization,natural language processing,cloud computing",C004
U186,"databases,algorithms,data science,augmented reality,AI","C004,C003,C002"
U187,"networking,data visualization,blockchain,game development,algorithms",C004
U188,"robotics,networking,mobile development,natural language processing","C005,C003,C004"
U189,"algorithms,augmented reality,ethical hacking","C002,C001"
U190,"AI,blockchain","C005,C002,C004"
U191,"game development,natural language processing,AI","C002,C001"
U192,"augmented reality,data science","C004,C001,C005"
U193,"web development,databases,networking",C002
U194,"robotics,programming,mobile development,virtual reality","C003,C005,C001"
U195,"blockchain,augmented reality,web development,IoT,AI",C001
U196,virtual reality,"C004,C003,C002"
U197,"augmented reality,programming,AI,web development","C003,C005"
U198,data visualization,"C001,C002,C005"
U199,"cybersecurity,data science",C005
U200,"AI,natural language processing,programming",C001
U201,"programming,networking","C004,C001,C005"
U202,"cloud computing,data science,algorithms,data visualization,robotics","C003,C005,C004"
U203,"blockchain,augmented reality,data visualization,programming,IoT","C004,C001,C002"
U204,"natural language processing,AI,quantum computing","C001,C004,C003"
U205,virtual reality,"C003,C005,C002"
U206,"programming,virtual reality,augmented reality,computer vision",C001
U207,"data science,IoT",C005
U208,"data visualization,databases,virtual reality","C003,C002,C004"
U209,"data visualization,computer vision","C002,C004,C005"
U210,"data science,data visualization","C004,C001,C003"
U211,"data science,algorithms,augmented reality,web development","C004,C003,C005"
U212,databases,"C001,C002,C004"
U213,"mobile development,data science,robotics","C005,C003"
U214,"cybersecurity,networking",C002
U215,"quantum computing,data visualization,virtual reality","C004,C003,C001"
U216,"web development,networking,data science,computer vision",C004
U217,"augmented reality,mobile development","C002,C003"
U218,"robotics,blockchain",C004
U219,cybersecurity,"C004,C002,C001"
U220,"data visualization,computer vision","C001,C003"
U221,"ethical hacking,data visualization","C002,C001"
U222,"IoT,blockchain,AI,quantum computing","C002,C004"
U223,"data science,computer vision,cybersecurity,programming,game development","C002,C003"
U224,"augmented reality,networking","C001,C002,C004"
U225,"networking,AI",C003
U226,"cybersecurity,augmented reality,natural language processing",C003
U227,"cybersecurity,blockchain,data visualization","C005,C002"
U228,"augmented reality,databases",C005
U229,ethical hacking,C004
U230,"augmented reality,networking,virtual reality,AI","C003,C004"
U231,"AI,blockchain,programming,virtual reality,augmented reality","C003,C005"
U232,"cloud computing,networking","C001,C003,C002"
U233,"databases,AI","C001,C005,C004"
U234,"programming,cloud computing","C001,C005"
U235,"AI,programming,cloud computing",C001
U236,natural language processing,"C002,C001"
U237,"game development,mobile development,robotics,blockchain","C004,C002"
U238,"ethical hacking,virtual reality,blockchain,web development",C005
U239,"web development,databases,cybersecurity","C004,C001"
U240,"IoT,virtual reality,natural language processing,networking",C003
U241,"game development,AI,algorithms,virtual reality",C001
U242,"IoT,augmented reality",C003
U243,"virtual reality,natural language processing,cybersecurity,algorithms,quantum computing","C004,C002"
U244,"web development,blockchain,databases,programming,algorithms",C004
U245,"natural language processing,cloud computing,virtual reality,data visualization,quantum computing",C004
U246,"AI,programming,mobile development,cloud computing,game development","C001,C005"
U247,quantum computing,"C003,C001,C005"
U248,web development,C003
U249,"mobile development,cloud computing","C003,C005,C004"
U250,"game development,data visualization,ethical hacking","C003,C004"
U251,"databases,web development",C004
U252,"natural language processing,algorithms,computer vision,quantum computing,programming","C004,C001,C002"
U253,"cybersecurity,natural language processing,algorithms",C004
U254,"robotics,quantum computing,networking,blockchain,virtual reality",C001
U255,"game development,quantum computing,databases","C005,C001,C002"
U256,data science,C005
U257,IoT,C004
U258,"cybersecurity,web development,AI","C001,C003,C004"
U259,"IoT,databases,web development,AI","C002,C001"
U260,"programming,AI",C002
U261,algorithms,"C001,C004"
U262,cloud computing,"C002,C003,C001"
U263,"augmented reality,programming",C001
U264,"blockchain,cloud computing",C003
U265,"data visualization,mobile development,computer vision,robotics",C004
U266,"quantum computing,algorithms","C005,C004"
U267,"mobile development,game development,blockchain","C003,C005"
U268,"data science,cybersecurity,mobile development,ethical hacking,natural language processing","C004,C002"
U269,"programming,data science,algorithms,cloud computing,virtual reality","C002,C001,C003"
U270,"web development,virtual reality,mobile development,IoT","C001,C002"
U271,"cybersecurity,data visualization,programming,AI",C005
U272,"IoT,augmented reality,natural language processing",C003
U273,"programming,data visualization,blockchain,mobile development,cybersecurity",C005
U274,virtual reality,"C004,C002,C001"
U275,"blockchain,data visualization,IoT","C004,C001"
U276,"web development,quantum computing,augmented reality,data visualization,natural language processing","C002,C003,C001"
U277,"blockchain,computer vision,web development,data visualization,augmented reality","C002,C003"
U278,"networking,game development,cloud computing","C004,C002,C001"
U279,"natural language processing,cybersecurity",C001
U280,"IoT,algorithms,natural language processing,cybersecurity,AI","C005,C004"
U281,"networking,natural language processing,virtual reality","C005,C004,C001"
U282,"cybersecurity,algorithms,robotics,blockchain,AI",C003
U283,"game development,IoT,algorithms","C004,C002"
U284,"blockchain,mobile development,AI,ethical hacking,databases","C001,C004,C003"
U285,"programming,IoT,web development","C001,C005"
U286,"algorithms,networking,IoT,blockchain,cloud computing","C004,C003"
U287,"quantum computing,computer vision,IoT","C002,C005,C004"
U288,computer vision,"C001,C004"
U289,"virtual reality,computer vision,blockchain,game development,mobile development","C002,C003,C001"
U290,robotics,"C001,C002,C003"
U291,"ethical hacking,data science,robotics,AI","C001,C005"
U292,"cybersecurity,IoT,AI","C003,C001"
U293,natural language processing,"C003,C004,C002"
U294,"algorithms,virtual reality,robotics",C001
U295,"IoT,cloud computing,natural language processing","C003,C001"
U296,"databases,natural language processing,web development,data visualization,augmented reality","C004,C001"
U297,"computer vision,blockchain,AI","C005,C001,C003"
U298,"virtual reality,blockchain,programming",C005
U299,"AI,robotics",C003
U300,"databases,virtual reality,computer vision,algorithms,mobile development","C004,C001,C005"
U301,"robotics,virtual reality,programming","C005,C003,C001"
U302,cybersecurity,C003
U303,"programming,networking,computer vision,ethical hacking,blockchain","C002,C005"
U304,"data visualization,cloud computing","C003,C005,C001"
U305,"programming,robotics,cloud computing,mobile development,virtual reality","C002,C005,C004"
U306,"blockchain,data science",C005
U307,"databases,robotics,virtual reality","C004,C001,C003"
U308,"cloud computing,networking,cybersecurity,robotics","C001,C005,C002"
U309,"robotics,programming,AI,mobile development","C002,C004"
U310,"cloud computing,augmented reality,AI,virtual reality",C001
U311,"web development,mobile development,ethical hacking",C004
U312,"virtual reality,natural language processing,algorithms,robotics","C004,C005,C003"
U313,"data science,quantum computing,databases,data visualization,IoT","C004,C005"
U314,"cloud computing,augmented reality,cybersecurity,networking,data science","C003,C002,C004"
U315,quantum computing,C003
U316,"blockchain,algorithms","C005,C004"
U317,"cybersecurity,natural language processing",C005
U318,"web development,natural language processing,programming",C001
U319,"algorithms,ethical hacking,game development,computer vision,data science","C003,C005"
U320,robotics,"C002,C003"
U321,"cybersecurity,mobile development,cloud computing,programming,natural language processing",C005
U322,"mobile development,augmented reality,data visualization",C005
U323,ethical hacking,"C001,C002"
U324,"robotics,data science,algorithms,IoT",C004
U325,"programming,AI,web development,robotics","C004,C003,C001"
U326,"mobile development,robotics,blockchain,databases,IoT","C002,C005,C004"
U327,"quantum computing,AI,networking,programming","C002,C004,C005"
U328,"networking,web development,augmented reality,virtual reality,mobile development","C002,C004"
U329,"blockchain,natural language processing,quantum computing,web development,programming","C004,C002,C001"
U330,"game development,web development",C004
U331,"networking,ethical hacking,natural language processing,cybersecurity,IoT","C004,C005,C003"
U332,programming,"C003,C004,C001"
U333,"data visualization,web development","C004,C001,C005"
U334,virtual reality,C004
U335,"data visualization,mobile development,databases,web development","C005,C003,C002"
U336,"web development,networking,natural language processing",C005
U337,"programming,mobile development,natural language processing,cloud computing","C002,C001"
U338,"natural language processing,networking,augmented reality","C001,C002,C004"
U339,"data science,quantum computing,robotics","C004,C002,C003"
U340,"AI,data visualization,algorithms,web development,cloud computing",C004
U341,"computer vision,cloud computing,data science,AI,data visualization",C001
U342,"robotics,virtual reality,cybersecurity","C003,C005,C001"
U343,"mobile development,natural language processing","C003,C001,C005"
U344,"AI,computer vision","C004,C002"
U345,"data science,virtual reality,natural language processing,cloud computing",C003
U346,"data science,virtual reality,algorithms,ethical hacking,cybersecurity",C003
U347,"data visualization,data science,quantum computing,web development,robotics","C003,C001"
U348,"data science,game development,data visualization,networking,databases","C002,C004,C005"
U349,"computer vision,networking,databases,natural language processing","C002,C005"
U350,"quantum computing,mobile development,databases","C005,C001,C002"
U351,"blockchain,web development,augmented reality,data visualization","C001,C002,C005"
U352,"web development,quantum computing,cloud computing,cybersecurity","C005,C001,C004"
U353,robotics,"C001,C003,C004"
U354,"robotics,data visualization","C004,C001,C005"
U355,"natural language processing,algorithms,AI",C001
U356,"data science,augmented reality,web development,quantum computing,IoT","C003,C004,C005"
U357,databases,"C001,C005"
U358,"mobile development,game development","C005,C003,C001"
U359,"algorithms,quantum computing,mobile development,game development,computer vision","C001,C005,C004"
U360,"databases,natural language processing,blockchain,algorithms,ethical hacking","C004,C005"
U361,"blockchain,web development,mobile development","C005,C001"
U362,"programming,algorithms,cloud computing","C005,C003"
U363,"robotics,data science,cloud computing,blockchain","C004,C005"
U364,"computer vision,IoT,programming","C005,C003,C002"
U365,"robotics,computer vision,databases",C004
U366,game development,"C003,C001,C005"
U367,virtual reality,"C001,C003,C002"
U368,"data science,algorithms,augmented reality,robotics,IoT","C002,C004"
U369,"ethical hacking,data science",C003
U370,AI,"C001,C004"
U371,IoT,"C003,C004,C005"
U372,"quantum computing,databases,ethical hacking,data science,IoT","C005,C004"
U373,"computer vision,natural language processing,data visualization,augmented reality","C003,C001"
U374,"natural language processing,data visualization,algorithms,augmented reality,game development",C004
U375,"IoT,AI","C004,C002,C005"
U376,"cloud computing,natural language processing,ethical hacking",C002
U377,data visualization,"C004,C005,C002"
U378,"IoT,mobile development,virtual reality,game development","C001,C002,C005"
U379,"data visualization,web development,ethical hacking,game development",C002
U380,"data science,data visualization",C001
U381,algorithms,"C004,C005,C003"
U382,virtual reality,"C005,C002,C003"
U383,"algorithms,databases","C003,C005,C004"
U384,augmented reality,C003
U385,"data visualization,robotics,blockchain,web development,virtual reality",C003
U386,"natural language processing,augmented reality,cybersecurity",C002
U387,"mobile development,augmented reality,natural language processing,web development","C005,C003"
U388,"augmented reality,robotics",C004
U389,"computer vision,natural language processing,data visualization,web development,databases",C004
U390,"natural language processing,web development,AI","C003,C005,C004"
U391,"IoT,ethical hacking,cybersecurity,robotics,data science",C002
U392,"programming,databases,augmented reality,mobile development,algorithms","C003,C005,C004"
U393,"cybersecurity,mobile development,databases",C001
U394,"algorithms,programming,AI,databases,augmented reality","C005,C001,C004"
U395,web development,C003
U396,"cloud computing,programming,virtual reality,robotics,cybersecurity","C004,C005"
U397,blockchain,"C004,C003,C001"
U398,"programming,computer vision,virtual reality,quantum computing,algorithms",C004
U399,"databases,AI,robotics","C003,C004,C002"
U400,"networking,blockchain,natural language processing,ethical hacking","C001,C002"
U401,"augmented reality,databases,web development,computer vision","C004,C002,C005"
U402,"cybersecurity,computer vision,quantum computing,robotics,data visualization","C005,C004"
U403,"programming,ethical hacking",C005
U404,"quantum computing,algorithms,blockchain,web development,data visualization","C003,C004,C001"
U405,data science,"C001,C002,C003"
U406,"augmented reality,IoT,natural language processing,networking","C003,C005,C002"
U407,"natural language processing,databases,robotics,data visualization","C003,C001"
U408,"game development,computer vision,networking,data visualization,data science","C002,C004"
U409,"augmented reality,mobile development,data science,programming,web development",C001
U410,AI,C002
U411,"algorithms,databases,programming,AI,quantum computing",C001
U412,"databases,AI,networking,mobile development,ethical hacking","C003,C002,C005"
U413,virtual reality,C005
U414,"cybersecurity,computer vision,game development","C005,C002"
U415,"game development,blockchain,mobile development,programming,AI","C004,C005"
U416,cloud computing,"C005,C004,C003"
U417,"computer vision,programming,blockchain","C003,C002,C005"
U418,"data science,quantum computing",C002
U419,"data science,cloud computing,programming,blockchain,mobile development",C001
U420,"data visualization,ethical hacking,IoT,blockchain","C002,C005"
U421,"blockchain,algorithms,IoT,data science,computer vision","C004,C001,C005"
U422,web development,C003
U423,"databases,mobile development","C005,C002,C001"
U424,"augmented reality,computer vision","C001,C005,C004"
U425,data science,"C005,C001"
U426,"augmented reality,cybersecurity,networking","C001,C002,C003"
U427,"natural language processing,quantum computing,augmented reality,blockchain",C004
U428,cybersecurity,"C001,C005"
U429,"programming,AI,ethical hacking,game development,data science","C003,C005,C002"
U430,"robotics,algorithms,blockchain,game development,web development",C003
U431,"cybersecurity,mobile development","C001,C004"
U432,"AI,networking","C003,C004,C002"
U433,"databases,augmented reality,blockchain,networking,data science",C003
U434,"algorithms,IoT",C002
U435,"data visualization,natural language processing,ethical hacking","C004,C005,C001"
U436,"blockchain,computer vision",C001
U437,"augmented reality,ethical hacking,computer vision,mobile development",C004
U438,quantum computing,"C002,C005,C003"
U439,"data visualization,programming,cybersecurity",C001
U440,"algorithms,blockchain","C003,C002,C001"
U441,"robotics,virtual reality,mobile development,data visualization","C001,C003"
U442,"blockchain,augmented reality,algorithms,databases","C002,C004"
U443,"blockchain,AI,data visualization",C002
U444,"blockchain,databases,natural language processing",C005
U445,"networking,quantum computing","C001,C005"
U446,"IoT,ethical hacking","C003,C004,C005"
U447,"algorithms,game development,programming,quantum computing",C003
U448,"virtual reality,ethical hacking,algorithms","C005,C004"
U449,"databases,virtual reality,data science,AI,networking",C002
U450,"quantum computing,data science",C005
U451,"programming,blockchain,cloud computing","C004,C003,C001"
U452,"virtual reality,data science,robotics","C001,C003"
U453,"augmented reality,databases,data visualization,quantum computing","C004,C005"
U454,"cloud computing,data visualization","C002,C001"
U455,"web development,data visualization","C001,C003"
U456,cybersecurity,"C003,C001"
U457,"web development,blockchain,networking,cloud computing,data science",C001
U458,"IoT,ethical hacking,AI,databases",C004
U459,"IoT,algorithms,mobile development,databases,game development","C002,C005"
U460,programming,"C002,C004,C003"
U461,"robotics,ethical hacking,blockchain,cloud computing,IoT",C005
U462,"blockchain,databases,web development","C001,C003,C002"
U463,"ethical hacking,algorithms",C003
U464,"robotics,web development,data science,ethical hacking","C004,C003,C001"
U465,ethical hacking,"C001,C002,C005"
U466,"robotics,databases",C004
U467,"databases,blockchain",C001
U468,"IoT,quantum computing,virtual reality,programming,data science","C001,C004"
U469,"quantum computing,programming,game development,augmented reality,cybersecurity","C002,C005"
U470,cybersecurity,"C003,C001"
U471,virtual reality,C004
U472,IoT,"C003,C005,C002"
U473,"AI,networking",C002
U474,"AI,game development,cybersecurity,programming,web development",C001
U475,"web development,ethical hacking,augmented reality,mobile development,networking",C002
U476,"IoT,robotics,ethical hacking","C003,C001"
U477,"robotics,computer vision,algorithms,ethical hacking","C004,C005"
U478,"data visualization,ethical hacking,robotics","C004,C005"
U479,"mobile development,quantum computing,databases,blockchain,web development","C005,C003"
U480,"data science,cloud computing,data visualization","C002,C004,C001"
U481,"robotics,blockchain,augmented reality,data visualization","C005,C001,C003"
U482,blockchain,"C001,C002"
U483,"programming,data science","C002,C004,C003"
U484,"programming,data science,robotics",C004
U485,"quantum computing,game development",C005
U486,"cloud computing,virtual reality,AI","C004,C002,C003"
U487,"networking,augmented reality,IoT,natural language processing",C003
U488,"robotics,quantum computing,data visualization","C003,C001,C002"
U489,ethical hacking,"C002,C005,C003"
U490,quantum computing,"C002,C001"
U491,"web development,cloud computing","C004,C001"
U492,"natural language processing,robotics,networking",C004
U493,"augmented reality,ethical hacking,quantum computing,databases","C002,C005,C004"
U494,"ethical hacking,quantum computing,mobile development","C002,C003,C001"
U495,"databases,mobile development,ethical hacking,AI,augmented reality","C001,C005,C003"
U496,"networking,augmented reality",C001
U497,"blockchain,robotics,algorithms,web development","C004,C001,C002"
U498,"programming,virtual reality,web development,networking,augmented reality",C002
U499,"IoT,data visualization,programming","C002,C003"
U500,"web development,programming",C003
U501,"algorithms,AI","C002,C003,C004"
U502,"programming,augmented reality,cybersecurity,mobile development,IoT","C001,C003"
U503,"web development,databases,networking",C005
U504,"data visualization,programming,computer vision,databases,game development","C001,C004,C005"
U505,"augmented reality,databases,programming,data visualization,virtual reality","C001,C002"
U506,"natural language processing,augmented reality,data science",C002
U507,"quantum computing,ethical hacking",C002
U508,"mobile development,AI,quantum computing,databases,natural language processing","C002,C001"
U509,data science,"C004,C005,C001"
U510,"game development,web development,algorithms,natural language processing",C003
U511,blockchain,"C005,C004"
U512,"game development,programming,mobile development",C003
U513,"databases,web development,ethical hacking,networking","C004,C001,C005"
U514,"cloud computing,game development,mobile development,data science,data visualization","C003,C002"
U515,blockchain,"C005,C002,C003"
U516,"databases,AI,cloud computing,virtual reality,data science",C004
U517,"mobile development,cybersecurity,quantum computing,robotics,web development",C001
U518,"game development,data visualization","C002,C004,C003"
U519,cloud computing,"C004,C002"
U520,game development,C003
U521,"databases,data visualization,cloud computing,algorithms","C001,C002"
U522,"IoT,AI",C004
U523,"web development,IoT,data visualization,data science,ethical hacking","C001,C005"
U524,"AI,augmented reality",C001
U525,"ethical hacking,databases","C003,C001"
U526,"databases,augmented reality,blockchain,algorithms,IoT",C005
U527,"networking,robotics,virtual reality,cloud computing,augmented reality","C002,C003,C004"
U528,"data science,natural language processing,robotics",C005
U529,"cybersecurity,blockchain","C002,C004"
U530,"cloud computing,data visualization,natural language processing",C002
U531,"game development,natural language processing,computer vision,IoT,data science","C004,C003,C002"
U532,"natural language processing,IoT,ethical hacking","C001,C002"
U533,"data science,AI,databases,robotics",C001
U534,"cybersecurity,augmented reality,game development,mobile development","C003,C002,C005"
U535,computer vision,"C005,C003,C001"
U536,"mobile development,natural language processing,data visualization,data science,blockchain","C004,C005"
U537,"computer vision,web development,algorithms,cloud computing,IoT","C003,C001"
U538,"natural language processing,game development,ethical hacking,databases,blockchain",C001
U539,"cloud computing,computer vision,databases,mobile development,data science","C003,C004"
U540,"augmented reality,computer vision,cybersecurity","C001,C005"
U541,"programming,augmented reality,databases,blockchain,robotics","C004,C002"
U542,"networking,virtual reality","C002,C005"
U543,"programming,cloud computing,virtual reality,web development,data science",C001
U544,blockchain,"C003,C002,C004"
U545,"databases,robotics","C001,C003,C004"
U546,"algorithms,mobile development,virtual reality,ethical hacking","C003,C002"
U547,"computer vision,game development,AI,ethical hacking,cybersecurity",C002
U548,blockchain,C002
U549,"cloud computing,game development,augmented reality","C002,C004"
U550,"blockchain,networking,mobile development,cybersecurity,AI","C004,C005"
U551,"blockchain,data science,programming",C002
U552,"game development,IoT,mobile development","C003,C002"
U553,"algorithms,web development,blockchain,networking,natural language processing","C003,C002,C004"
U554,"blockchain,computer vision","C005,C002"
U555,"robotics,quantum computing,virtual reality,algorithms","C005,C002,C004"
U556,"blockchain,data science,ethical hacking,algorithms,quantum computing","C002,C004,C003"
U557,"algorithms,programming,blockchain,data science",C002
U558,"mobile development,databases,data science","C003,C002,C004"
U559,augmented reality,C004
